Age,Education Level,Occupation,Interest,Experience,Learning Style,Time Commitment,Preferred Resources,Recommended Skillc    ,,,
16,Bachelor's,Job Seeker,Full Stack Development,Beginner,Auditory,<5 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Job Seeker,Networking,Beginner,Kinesthetic,>10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Job Seeker,Networking,Beginner,Visual,<5 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Job Seeker,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Job Seeker,Networking,Beginner,Auditory,>10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,AI/ML,Beginner,Auditory,<5 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Visual,<5 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Reading/Writing,5-10 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Visual,5-10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Reading/Writing,<5 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,AI/ML,Beginner,Kinesthetic,5-10 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Student,Blockchain,Beginner,Auditory,>10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Kinesthetic,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Visual,5-10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Cloud Computing,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Reading/Writing,5-10 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Visual,>10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Visual,>10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Auditory,5-10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Visual,<5 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Full Stack Development,Beginner,Kinesthetic,<5 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Visual,>10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Reading/Writing,>10 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Student,Networking,Beginner,Reading/Writing,5-10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,AI/ML,Beginner,Visual,<5 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,>10 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Working Professional,AI/ML,Beginner,Reading/Writing,5-10 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,5-10 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Working Professional,AI/ML,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Kinesthetic,<5 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Auditory,<5 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Blockchain,Beginner,Reading/Writing,>10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Auditory,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Visual,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Visual,<5 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Kinesthetic,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Auditory,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Auditory,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Visual,5-10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Reading/Writing,<5 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Visual,5-10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Auditory,<5 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Full Stack Development,Beginner,Visual,<5 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Reading/Writing,>10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Reading/Writing,>10 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Reading/Writing,<5 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Visual,<5 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,Bachelor's,Working Professional,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,AI/ML,Beginner,Reading/Writing,>10 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Job Seeker,AI/ML,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Job Seeker,AI/ML,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Job Seeker,AI/ML,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Job Seeker,AI/ML,Beginner,Visual,<5 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Job Seeker,Blockchain,Beginner,Kinesthetic,>10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Job Seeker,Blockchain,Beginner,Auditory,<5 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Job Seeker,Blockchain,Beginner,Visual,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Job Seeker,Blockchain,Beginner,Auditory,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Job Seeker,Blockchain,Beginner,Auditory,>10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Job Seeker,Cloud Computing,Beginner,Visual,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Job Seeker,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Job Seeker,Cloud Computing,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Job Seeker,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Job Seeker,Cloud Computing,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Reading/Writing,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Auditory,>10 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Visual,5-10 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Visual,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Visual,>10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Reading/Writing,<5 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Full Stack Development,Beginner,Reading/Writing,>10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Job Seeker,Networking,Beginner,Auditory,5-10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,Networking,Beginner,Kinesthetic,>10 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,Networking,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Job Seeker,Networking,Beginner,Visual,5-10 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,AI/ML,Beginner,Auditory,>10 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Visual,<5 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Auditory,>10 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Visual,<5 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Kinesthetic,<5 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,AI/ML,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Student,Blockchain,Beginner,Auditory,<5 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Auditory,<5 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Visual,<5 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Auditory,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Auditory,>10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Blockchain,Beginner,Auditory,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Student,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Auditory,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Auditory,5-10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Visual,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Cloud Computing,Beginner,Reading/Writing,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,5-10 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Auditory,5-10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Auditory,5-10 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,>10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Auditory,5-10 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Full Stack Development,Beginner,Kinesthetic,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,Networking,Beginner,Visual,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,Networking,Beginner,Auditory,>10 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,Networking,Beginner,Visual,5-10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Working Professional,AI/ML,Beginner,Reading/Writing,<5 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Working Professional,AI/ML,Beginner,Visual,<5 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Working Professional,AI/ML,Beginner,Kinesthetic,<5 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Working Professional,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Working Professional,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Free,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,High School,Working Professional,Blockchain,Beginner,Visual,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,High School,Working Professional,Cloud Computing,Beginner,Reading/Writing,5-10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Auditory,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Visual,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Visual,5-10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Visual,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Visual,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Cloud Computing,Beginner,Auditory,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,High School,Working Professional,Full Stack Development,Beginner,Reading/Writing,5-10 hrs/week,Free,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Working Professional,Full Stack Development,Beginner,Visual,<5 hrs/week,Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Working Professional,Full Stack Development,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"HTML, CSS, JavaScript, Git, React Basics",,,
16,High School,Working Professional,Networking,Beginner,Reading/Writing,<5 hrs/week,Paid,"CCNA, TCP/IP, Network Security Basics",,,
16,High School,Working Professional,Networking,Beginner,Auditory,<5 hrs/week,Free,"CCNA, TCP/IP, Network Security Basics",,,
